"Task ID","SUBJECT","MISSION","# OF TASKS","Task Name","Label","Sequence Name","Sequence Number"
65893,"???????","Chodesh Cheshvan",28,"???? ???? I said the Rebbe's pesukim in Shmona Esrei everyday of the week","Davening like a Chayol","Shemone Esrei",30
96313,"???????","???? ?????",1,"???? ????? I said the Rebbe's pesukim in Shmona Esrei everyday of the week","Davening like a Chayol","Shemone Esrei",30
65894,"???????","Chodesh Cheshvan",29,"???? ??? ??? I said the Rebbe's pesukim in Shmona Esrei everyday of the week","Davening like a Chayol","Shemone Esrei",30
65892,"???????","Chodesh Cheshvan",28,"???? ?? ?? I said the Rebbe's pesukim in Shmona Esrei everyday of the week","Davening like a Chayol","Shemone Esrei",30
65443,"???????","???? ??",79,"???? ?? I said the Rebbe's pesukim in Shmona Esrei everyday of the week","Davening like a Chayol","Shemone Esrei",30
96255,"???????","???? ??????",50,"???? ?????? I said the Rebbe's pesukim in Shmona Esrei everyday of the week","Davening like a Chayol","Shemone Esrei",30
14856,"??? ?????? ??????","????",155,"Did you bring your report back by Monday?","Monthly","WWTC Monday",10
63439,"???????","???? ??",11360,"I sang one of the Rebbe's niggunim at our shabbos table (assader lesudosa or ata bechartanu)","During the Shabbos Meal","Asader Lesudoso",60
103825,"???????","???? ???",55286,"I sang one of the Rebbes niggunim at our Shabbos table (assader lesudosa or ata bechartanu)","During the Shabbos Meal","Asader Lesudoso",60
104423,"???????","???? ????",1,"? I sang one of the Rebbes niggunim at our Shabbos table (assader lesudosa or ata bechartanu)","During the Shabbos Meal","Asader Lesudoso",60
104967,"???????","Chodesh Teves",9,"Part 3 ???? ???? I shared (or heard) a Dvar Torah at our Shabbos table","During the Shabbos Meal","Dvar Torah",40
104245,"???????","???",72,"I shared (or heard) a Dvar Torah at our Shabbos table","During the Shabbos Meal","Dvar Torah",40
114583,"???????","???? ??",3580,"I shared (or heard) a Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
103813,"???????","???? ???",55219,"I shared (or heard) something from the Rebbe's Torah at our Shabbos table","During the Shabbos Meal","Dvar Torah",40
95799,"???????","???? ??????",5505,"I shared (or heard) something from the Rebbe’s Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
104437,"???????","???? ???",65,"I told over (or heard) something from the Rebbe's Torah at our Shabbos table","During the Shabbos Meal","Dvar Torah",40
63427,"???????","???? ??",5902,"I told over (or heard) something from the Rebbe’s Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
104965,"???????","Chodesh Teves",9,"Part 1 ???? ??? I shared (or heard) a Dvar Torah at our Shabbos table","During the Shabbos Meal","Dvar Torah",40
104297,"???????","???? ???",5,"Part 1 ???? ??? I told over (or heard) something from the Rebbe's Torah at our Shabbos table","During the Shabbos Meal","Dvar Torah",40
104966,"???????","Chodesh Teves",9,"Part 2 ???? ???? I shared (or heard) a Dvar Torah at our Shabbos table","During the Shabbos Meal","Dvar Torah",40
104968,"???????","Chodesh Teves",9,"Part 4 ???? ???? I shared (or heard) a Dvar Torah at our Shabbos table","During the Shabbos Meal","Dvar Torah",40
104032,"???????","???? ??",1,"Part 4 ???? ???? I shared (or heard) something from the Rebbe's Torah at our Shabbos table","During the Shabbos Meal","Dvar Torah",40
75365,"???????","Chodesh Cheshvan",18,"???? ???? I told over (or heard) a D'var Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
65873,"???????","Chodesh Cheshvan",92,"???? ???? I told over (or heard) something from the Rebbe’s Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
75366,"???????","Chodesh Cheshvan",18,"???? ??? ??? I told over (or heard) a D'var Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
65874,"???????","Chodesh Cheshvan",92,"???? ??? ??? I told over (or heard) something from the Rebbe’s Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
75364,"???????","Chodesh Cheshvan",18,"???? ?? ?? I told over (or heard) a D'var Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
65872,"???????","Chodesh Cheshvan",92,"???? ?? ?? I told over (or heard) something from the Rebbe’s Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
104269,"???????","???? ???",1,"???? ??? I told over (or heard) something from the Rebbe's Torah at our Shabbos table","During the Shabbos Meal","Dvar Torah",40
75363,"???????","Chodesh Cheshvan",18,"???? ?? I told over (or heard) a D'var Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
65423,"???????","???? ??",143,"???? ?? I told over (or heard) something from the Rebbe’s Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
96231,"???????","???? ??????",95,"???? ?????? I shared (or heard) something from the Rebbe’s Torah at our shabbos table","During the Shabbos Meal","Dvar Torah",40
104281,"???????","???? ???",51,"Part 1 ???? ??? I sang one of the Rebbes niggunim at our Shabbos table (assader lesudosa or ata bechartanu)","During the Shabbos Meal","Niggun",70
104044,"???????","???? ??",1,"Part 4 ???? ???? I sang one of the Rebbes niggunim at our Shabbos table (assader lesudosa or ata bechartanu)","During the Shabbos Meal","Niggun",70
65885,"???????","Chodesh Cheshvan",137,"???? ???? I sang one of the Rebbe's niggunim at our shabbos table (assader lesudosa or ata bechartanu)","During the Shabbos Meal","Niggun",70
65886,"???????","Chodesh Cheshvan",93,"???? ??? ??? I sang one of the Rebbe's niggunim at our shabbos table (assader lesudosa or ata bechartanu)","During the Shabbos Meal","Niggun",70
65884,"???????","Chodesh Cheshvan",92,"???? ?? ?? I sang one of the Rebbe's niggunim at our shabbos table (assader lesudosa or ata bechartanu)","During the Shabbos Meal","Niggun",70
65435,"???????","???? ??",143,"???? ?? I sang one of the Rebbe's niggunim at our shabbos table (assader lesudosa or ata bechartanu)","During the Shabbos Meal","Niggun",70
96243,"???????","???? ??????",95,"???? ?????? I sang one of the Rebbe's niggunim at our shabbos table (assader lesudosa or ata bechartanu)","During the Shabbos Meal","Niggun",70
64114,"???????","???? ??",17055,"I sang one of this week's niggunim at my Shabbos table","During the Shabbos Meal","Niggun",70
75183,"???????","Chodesh Cheshvan",180,"I sang one of this week's songs at my Shabbos table","During the Shabbos Meal","Niggun",70
114464,"???????","???? ?? ??",393,"I sang one of this weeks niggunim at my shabbos table","During the Shabbos Meal","Niggun",70
66231,"???????","???? ??",1,"sang one of this month's niggunim at my shabbos table","During the Shabbos Meal","Niggun",70
114471,"???????","???? ??????",1,"???? ???? I sang one of this weeks niggunim at my shabbos table","During the Shabbos Meal","Niggun",70
114484,"???????","???? ???",1,"???? ??? I sang one of this weeks niggunim at my shabbos table","During the Shabbos Meal","Niggun",70
114456,"???????","???? ??",1,"???? ?? I sang one of this weeks niggunim at my shabbos table","During the Shabbos Meal","Niggun",70
114470,"???????","???? ??????",1,"???? ?????? I sang one of this weeks niggunim at my shabbos table","During the Shabbos Meal","Niggun",70
95803,"???????","???? ??????",2728,"I shared (or heard) a story about the Rebbe at our shabbos table","During the Shabbos Meal","Rebbe Story",50
103817,"???????","???? ???",55284,"I told (or heard) a story about the Rebbe at our Shabbos table","During the Shabbos Meal","Rebbe Story",50
63431,"???????","???? ??",8679,"I told over (or heard) a story about the Rebbe at our shabbos table","During the Shabbos Meal","Rebbe Story",50
104273,"???????","???? ???",51,"Part 1 ???? ??? I told (or heard) a story about the Rebbe at our Shabbos table","During the Shabbos Meal","Rebbe Story",50
104036,"???????","???? ??",1,"Part 4 ???? ???? I told (or heard) a story about the Rebbe at our Shabbos table","During the Shabbos Meal","Rebbe Story",50
104059,"???????","???? ????",1,"? I told (or heard) a story about the Rebbe at our Shabbos table","During the Shabbos Meal","Rebbe Story",50
65877,"???????","Chodesh Cheshvan",92,"???? ???? I told over (or heard) a story about the Rebbe at our shabbos table","During the Shabbos Meal","Rebbe Story",50
65878,"???????","Chodesh Cheshvan",92,"???? ??? ??? I told over (or heard) a story about the Rebbe at our shabbos table","During the Shabbos Meal","Rebbe Story",50
65876,"???????","Chodesh Cheshvan",92,"???? ?? ?? I told over (or heard) a story about the Rebbe at our shabbos table","During the Shabbos Meal","Rebbe Story",50
65427,"???????","???? ??",143,"???? ?? I told over (or heard) a story about the Rebbe at our shabbos table","During the Shabbos Meal","Rebbe Story",50
96235,"???????","???? ??????",95,"???? ?????? I shared (or heard) a story about the Rebbe at our shabbos table","During the Shabbos Meal","Rebbe Story",50
64118,"???????","???? ??",2073,"I explained the background of the niggun","Sometime during the week ","Background",60
105289,"???????","???? ???",6,"Part 1 ???? ??? I explained the background to the niggun","Sometime during the week ","background",60
113795,"???????","???? ???",6,"Part 2 ???? ???? I explained the background to the niggun","Sometime during the week ","Background",60
113796,"???????","???? ???",6,"Part 3 ???? ???? I explained the background to the niggun","Sometime during the week ","Background",60
113797,"???????","???? ???",9,"Part 4 ???? ???? I explained the background to the niggun","Sometime during the week ","Background",60
113781,"???????","???? ??????",2,"???? ???? I explained the background of the niggun","Sometime during the week ","Background",60
113782,"???????","???? ??????",2,"???? ????? I explained the background of the niggun","Sometime during the week ","Background",60
95627,"???????","???? ??????",2,"???? ?????? I explained the background of the niggun","Sometime during the week ","Background",60
73322,"???????","Chodesh Cheshvan",39,"???? ???? I explained the background of the niggun","Sometime during the week ","Background",60
113783,"???????","???? ??????",2,"???? ???? I explained the background of the niggun","Sometime during the week ","Background",60
73323,"???????","Chodesh Cheshvan",37,"???? ??? ??? I explained the background of the niggun","Sometime during the week ","Background",60
73321,"???????","Chodesh Cheshvan",38,"???? ?? ?? I explained the background of the niggun","Sometime during the week ","Background",60
64102,"???????","???? ??",38,"???? ?? I explained the background of the niggun","Sometime during the week ","Background",60
105185,"???????","???? ???",11546,"I explained the background to the niggun","Sometime during the week ","Background ",60
104265,"???????","???",104,"I siad Horachoman every time i bentched this week","Sometime during the week ","Horachamon",10
114603,"???????","???? ??",3562,"I siad Horachoman every time i bentched this week","Sometime during the week ","Horachamon",10
103833,"???????","???? ???",55285,"I said ""Horachmon..."" in benching every time i benched","Sometime during the week ","Horachamon",10
63447,"???????","???? ??",11406,"I said horachmon in benching every time i benched","Sometime during the week ","Horachamon",10
104289,"???????","???? ???",51,"Part 1 ???? ??? I said ""Horachmon..."" in benching every time i benched","Sometime during the week ","Horachamon",10
104052,"???????","???? ??",1,"Part 4 ???? ???? I said ""Horachmon..."" in benching every time i benched","Sometime during the week ","Horachamon",10
65897,"???????","Chodesh Cheshvan",92,"???? ???? I said horachmon in benching every time i benched","Sometime during the week ","Horachamon",10
65898,"???????","Chodesh Cheshvan",93,"???? ??? ??? I said horachmon in benching every time i benched","Sometime during the week ","Horachamon",10
65896,"???????","Chodesh Cheshvan",92,"???? ?? ?? I said horachmon in benching every time i benched","Sometime during the week ","Horachamon",10
65447,"???????","???? ??",143,"???? ?? I said horachmon in benching every time i benched","Sometime during the week ","Horachamon",10
96251,"???????","???? ??????",95,"???? ?????? I said horachmon in benching every time i benched","Sometime during the week ","Horachamon",10
59075,"???? ?????","???? ??",2633,"I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
103385,"???? ?????","???? ???",14661,"I learned with my parent/grandparent for an additional 10 minutes during the week.( The bonus 10 minutes can be broken up with just a 2 minutes a day","Sometime during the week ","Learn with parent Bonus",40
103745,"???? ?????","Chodesh Teves",10,"Part 1 ???? ??? I learned with my parent/grandparent for an additional 10 minutes during the week.( The bonus 10 minutes can be broken up with just a 2 minutes a day","Sometime during the week ","Learn with parent Bonus",40
64594,"???? ?????","Chodesh Cheshvan",66,"Part 1 ???? ?? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
106958,"???? ?????","???? ??????",2,"Part 1 ???? ?????? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
103746,"???? ?????","Chodesh Teves",10,"Part 2 ???? ???? I learned with my parent/grandparent for an additional 10 minutes during the week.( The bonus 10 minutes can be broken up with just a 2 minutes a day","Sometime during the week ","Learn with parent Bonus",40
114176,"???? ?????","???? ??????",1,"Part 2 ???? ???? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
64595,"???? ?????","Chodesh Cheshvan",65,"Part 2 ???? ?? ?? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
103747,"???? ?????","Chodesh Teves",10,"Part 3 ???? ???? I learned with my parent/grandparent for an additional 10 minutes during the week.( The bonus 10 minutes can be broken up with just a 2 minutes a day","Sometime during the week ","Learn with parent Bonus",40
64596,"???? ?????","Chodesh Cheshvan",65,"Part 3 ???? ???? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
114177,"???? ?????","???? ??????",1,"Part 3 ???? ????? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
114178,"???? ?????","???? ??????",1,"Part 4 ???? ???? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
64597,"???? ?????","Chodesh Cheshvan",65,"Part 4 ???? ??? ??? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
103748,"???? ?????","Chodesh Teves",10,"Part 4 ???? ???? I learned with my parent/grandparent for an additional 10 minutes during the week.( The bonus 10 minutes can be broken up with just a 2 minutes a day","Sometime during the week ","Learn with parent Bonus",40
113641,"???? ?????","???? ??????",1,"???? ???? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
113653,"???? ?????","???? ???",1,"???? ???? I learned with my parent/grandparent for an additional 10 minutes during the week.( The bonus 10 minutes can be broken up with just a 2 minutes a day","Sometime during the week ","Learn with parent Bonus",40
113654,"???? ?????","???? ???",1,"???? ???? I learned with my parent/grandparent for an additional 10 minutes during the week.( The bonus 10 minutes can be broken up with just a 2 minutes a day","Sometime during the week ","Learn with parent Bonus",40
113639,"???? ?????","???? ??????",1,"???? ???? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
113640,"???? ?????","???? ??????",1,"???? ????? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
66466,"???? ?????","???? ??? ???",1,"???? ??? ??? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
66472,"???? ?????","???? ?? ??",1,"???? ?? ?? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
106966,"???? ?????","???? ???",2,"???? ??? I learned with my parent/grandparent for an additional 10 minutes during the week.( The bonus 10 minutes can be broken up with just a 2 minutes a day","Sometime during the week ","Learn with parent Bonus",40
66495,"???? ?????","???? ??",1,"???? ?? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
113655,"???? ?????","???? ???",1,"???? ???? I learned with my parent/grandparent for an additional 10 minutes during the week.( The bonus 10 minutes can be broken up with just a 2 minutes a day","Sometime during the week ","Learn with parent Bonus",40
113638,"???? ?????","???? ??????",1,"???? ?????? I learned for an additional 10 minutes during the week (the bonus 10 minutes can be broken up with just 2 minutes a day)","Sometime during the week ","Learn with parent Bonus",40
59071,"???? ?????","???? ??",16232,"I learned with my parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
110936,"???? ?????","???? ????? ?????",47,"I Learned with my Parent/grandparent for at least one 10 minute period this week? ?????","Sometime during the week ","Learnt with parent",30
66501,"???? ?????","???? ????",1,"I learned with my parent/grandparent for at least one 15 minute I learned with my parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
66571,"???? ?????","???? ??",1033,"I learned with my parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
103741,"???? ?????","Chodesh Teves",9,"Part 1 ???? ??? I Learned with my Parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
72465,"???? ?????","Chodesh Cheshvan",18,"Part 1 ???? ?? I learned with my parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
64590,"???? ?????","Chodesh Cheshvan",45,"Part 1 ???? ?? I learned with my parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
103742,"???? ?????","Chodesh Teves",9,"Part 2 ???? ???? I Learned with my Parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
72466,"???? ?????","Chodesh Cheshvan",18,"Part 2 ???? ?? ?? I learned with my parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
64591,"???? ?????","Chodesh Cheshvan",45,"Part 2 ???? ?? ?? I learned with my parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
103743,"???? ?????","Chodesh Teves",9,"Part 3 ???? ???? I Learned with my Parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
72467,"???? ?????","Chodesh Cheshvan",20,"Part 3 ???? ???? I learned with my parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
64592,"???? ?????","Chodesh Cheshvan",45,"Part 3 ???? ???? I learned with my parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
72468,"???? ?????","Chodesh Cheshvan",20,"Part 4 ???? ??? ??? I learned with my parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
64593,"???? ?????","Chodesh Cheshvan",45,"Part 4 ???? ??? ??? I learned with my parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
103744,"???? ?????","Chodesh Teves",9,"Part 4 ???? ???? I Learned with my Parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
103583,"???? ?????","???? ????",1,"? I Learned with my Parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
106963,"???? ?????","???? ???",3,"???? ???? I Learned with my Parent/grandpa0rent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
103526,"???? ?????","???? ????",1,"???? ???? I Learned with my Parent/grandparent for at least one 15 minute period this week","Sometime during the week ","Learnt with parent",30
114187,"???? ?????","???? ???",2,"???? ???? I Learned with my Parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
114172,"???? ?????","???? ??????",2,"???? ???? I learned with my parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
114174,"???? ?????","???? ??????",2,"???? ???? I learned with my parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
114173,"???? ?????","???? ??????",2,"???? ????? I learned with my parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
114158,"???? ?????","???? ??",2,"???? ?? ?? I learned with my parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
106962,"???? ?????","???? ???",3,"???? ??? I Learned with my Parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
114188,"???? ?????","???? ???",2,"???? ???? I Learned with my Parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
106954,"???? ?????","???? ??????",3,"???? ?????? I learned with my parent/grandparent for at least one 10 minute period this week","Sometime during the week ","Learnt with parent",30
63435,"???????","???? ??",35772,"I watched a video of the Rebbe","Sometime during the week ","Rebbe Video",20
104277,"???????","???? ???",51,"Part 1 ???? ??? I watched a video of the Rebbe","Sometime during the week ","Rebbe Video",20
104040,"???????","???? ??",1,"Part 4 ???? ???? I watched a video of the Rebbe","Sometime during the week ","Rebbe Video",20
65881,"???????","Chodesh Cheshvan",137,"???? ???? I watched a video of the Rebbe","Sometime during the week ","Rebbe Video",20
65882,"???????","Chodesh Cheshvan",92,"???? ??? ??? I watched a video of the Rebbe","Sometime during the week ","Rebbe Video",20
65880,"???????","Chodesh Cheshvan",92,"???? ?? ?? I watched a video of the Rebbe","Sometime during the week ","Rebbe Video",20
65431,"???????","???? ??",143,"???? ?? I watched a video of the Rebbe","Sometime during the week ","Rebbe Video",20
104476,"???????","???? ????",1,"???? ???? I watched a video of the Rebbe","Sometime during the week ","Rebbe Video",20
96239,"???????","???? ??????",95,"???? ?????? I watched a video of the Rebbe","Sometime during the week ","Rebbe Video",20
114591,"???????","???? ??",3562,"I said Modeh Ani every morning as I opened my eyes","Waking up like a Chayol ","Modeh Ani",10
104249,"???????","???",72,"I said Modeh Ani every morning as soon as i opened my eyes","Waking up like a Chayol ","Modeh Ani",10
104969,"???????","Chodesh Teves",9,"Part 1 ???? ??? I said Modeh Ani every morning as soon as i opened my eyes","Waking up like a Chayol ","Modeh Ani",10
104971,"???????","Chodesh Teves",9,"Part 3 ???? ???? I said Modeh Ani every morning as soon as i opened my eyes","Waking up like a Chayol ","Modeh Ani",10
104972,"???????","Chodesh Teves",9,"Part 4 ???? ???? I said Modeh Ani every morning as soon as i opened my eyes","Waking up like a Chayol ","Modeh Ani",10
75369,"???????","Chodesh Cheshvan",18,"???? ???? I said Modeh Ani every morning as soon as i opened my eyes","Waking up like a Chayol ","Modeh Ani",10
75370,"???????","Chodesh Cheshvan",18,"???? ??? ??? I said Modeh Ani every morning as soon as i opened my eyes","Waking up like a Chayol ","Modeh Ani",10
75368,"???????","Chodesh Cheshvan",18,"???? ?? ?? I said Modeh Ani every morning as soon as i opened my eyes","Waking up like a Chayol ","Modeh Ani",10
75367,"???????","Chodesh Cheshvan",18,"???? ?? I said Modeh Ani every morning as soon as i opened my eyes","Waking up like a Chayol ","Modeh Ani",10
104970,"???????","Chodesh Teves",9,"Part 2 ???? ???? I said Modeh Ani every morning as soon as i opened my eyes","Waking up like a Chayol ","Modeh Ani",10
114958,"???????","???? ????",183,"I washed Negel Vasser by my bed every morning (i prepared it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
114976,"???????","???? ????",3013,"I washed Negel Vasser by my bed every morning (i prepaaaaaaaaaaaad it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
104253,"???????","???",438,"I washed Negel Vasser by my bed every morning (I prepared it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
104973,"???????","Chodesh Teves",9,"Part 1 ???? ??? I washed Negel Vasser by my bed every morning (I prepared it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
104974,"???????","Chodesh Teves",9,"Part 2 ???? ???? I washed Negel Vasser by my bed every morning (I prepared it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
104975,"???????","Chodesh Teves",9,"Part 3 ???? ???? I washed Negel Vasser by my bed every morning (I prepared it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
104976,"???????","Chodesh Teves",9,"Part 4 ???? ???? I washed Negel Vasser by my bed every morning (I prepared it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
75373,"???????","Chodesh Cheshvan",18,"???? ???? I washed Negel Vasser by my bed every morning (i prepared it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
75374,"???????","Chodesh Cheshvan",18,"???? ??? ??? I washed Negel Vasser by my bed every morning (i prepared it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
75372,"???????","Chodesh Cheshvan",18,"???? ?? ?? I washed Negel Vasser by my bed every morning (i prepared it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
75371,"???????","Chodesh Cheshvan",18,"???? ?? I washed Negel Vasser by my bed every morning (i prepared it the night before)","Waking up like a Chayol ","Negel Vasser 1",20
20587,"Avodah","mission",2,"test 1",,,
19760,"Hakhel","?????",257,,,,
16597,"Hakhel","?''? ????",180,"Assorted Tasks",,,
104261,"???????","???",72,"I davened Shacharis on Sunday",,,
114587,"???????","???? ??",3562,"I davened Shachris on Sunday",,,
832510,"???????","???? ?????",550,"I learned one mishna with meforshim",,,
35242,"???????","???? ???????",3,"I pictured the Rebbe in my mind during Tekios",,,
35289,"???????","??? ??? ????",3,"I read a Michtav Kloli from the Rebbe",,,
114599,"???????","???? ??",3562,"I said my Kapitel of Tehillim every day this week",,,
104257,"???????","???",72,"I said my Kapitel of Tehillim everyday of the week",,,
831778,"???????","???? ?????",1101,"I said my quota of Pirkei Avos",,,
35241,"???????","???? ???????",3,"I sang the Rabbeim’s Niggunim at an end-of- Yom Tov Farbrengen",,,
